"View","Edit","Delete","Data_id","Author_id","Created Date","Name","Date","Time","latitude","longitude","Average noise level","Average light intensity","Wind direction","Wind speed (Beaufort scale)","Cloud cover","Cloud type","Photo of cloud conditions","Visibility","Traffic count","Temperature","Humidity","Make a note of anything that","Air pollution (number of particl","Comment"
"","","","1","1","title","2021-05-15 01:15:57.106543","name","date","time","latitude","longitude","average_noise_level","average_light_intensity","wind_direction","wind_speed","cloud_cover","cloud_type","cloud_photo_id","visibility","traffic_count","temperature","humidity","collecting_photo_id","View"
"","","","2","1","title","2021-05-15 01:15:57.106543","name","date","time","latitude","longitude","average_noise_level","average_light_intensity","wind_direction","wind_speed","cloud_cover","cloud_type","cloud_photo_id","visibility","traffic_count","temperature","humidity","collecting_photo_id","View"
"","","","3","2","title","2021-05-15 01:15:57.106543","name","date","time","latitude","longitude","average_noise_level","average_light_intensity","wind_direction","wind_speed","cloud_cover","cloud_type","cloud_photo_id","visibility","traffic_count","temperature","humidity","collecting_photo_id","View"
"","","","4","2","title","2021-05-15 01:15:57.106543","name","date","time","latitude","longitude","average_noise_level","average_light_intensity","wind_direction","wind_speed","cloud_cover","cloud_type","cloud_photo_id","visibility","traffic_count","temperature","humidity","collecting_photo_id","View"
"","","","5","1","title","2021-05-15 01:15:57.106543","name","date","time","latitude","longitude","average_noise_level","average_light_intensity","wind_direction","wind_speed","cloud_cover","cloud_type","cloud_photo_id","visibility","traffic_count","temperature","humidity","collecting_photo_id","View"
"","","","6","1","title","2021-05-15 01:15:57.106543","name","date","time","latitude","longitude","average_noise_level","average_light_intensity","wind_direction","wind_speed","cloud_cover","cloud_type","cloud_photo_id","visibility","traffic_count","temperature","humidity","collecting_photo_id","View"
"","","","7","2","title","2021-05-15 01:15:57.106543","name","date","time","latitude","longitude","average_noise_level","average_light_intensity","wind_direction","wind_speed","cloud_cover","cloud_type","cloud_photo_id","visibility","traffic_count","temperature","humidity","collecting_photo_id","View"
"","","","8","2","title","2021-05-15 01:15:57.106543","name","date","time","latitude","longitude","average_noise_level","average_light_intensity","wind_direction","wind_speed","cloud_cover","cloud_type","cloud_photo_id","visibility","traffic_count","temperature","humidity","collecting_photo_id","View"
"","","","9","1","title","2021-05-15 01:15:57.106543","name","date","time","latitude","longitude","average_noise_level","average_light_intensity","wind_direction","wind_speed","cloud_cover","cloud_type","cloud_photo_id","visibility","traffic_count","temperature","humidity","collecting_photo_id","View"
"","","","10","1","title","2021-05-15 01:15:57.106543","name","date","time","latitude","longitude","average_noise_level","average_light_intensity","wind_direction","wind_speed","cloud_cover","cloud_type","cloud_photo_id","visibility","traffic_count","temperature","humidity","collecting_photo_id","View"
"","","","11","2","title","2021-05-15 01:15:57.106543","name","date","time","latitude","longitude","average_noise_level","average_light_intensity","wind_direction","wind_speed","cloud_cover","cloud_type","cloud_photo_id","visibility","traffic_count","temperature","humidity","collecting_photo_id","View"
"","","","12","2","title","2021-05-15 01:15:57.106543","name","date","time","latitude","longitude","average_noise_level","average_light_intensity","wind_direction","wind_speed","cloud_cover","cloud_type","cloud_photo_id","visibility","traffic_count","temperature","humidity","collecting_photo_id","View"
"","","","13","1","title","2021-05-15 01:15:57.106543","name","date","time","latitude","longitude","average_noise_level","average_light_intensity","wind_direction","wind_speed","cloud_cover","cloud_type","cloud_photo_id","visibility","traffic_count","temperature","humidity","collecting_photo_id","View"
"","","","14","1","title","2021-05-15 01:15:57.106543","name","date","time","latitude","longitude","average_noise_level","average_light_intensity","wind_direction","wind_speed","cloud_cover","cloud_type","cloud_photo_id","visibility","traffic_count","temperature","humidity","collecting_photo_id","View"
"","","","15","2","title","2021-05-15 01:15:57.106543","name","date","time","latitude","longitude","average_noise_level","average_light_intensity","wind_direction","wind_speed","cloud_cover","cloud_type","cloud_photo_id","visibility","traffic_count","temperature","humidity","collecting_photo_id","View"
"","","","16","2","title","2021-05-15 01:15:57.106543","name","date","time","latitude","longitude","average_noise_level","average_light_intensity","wind_direction","wind_speed","cloud_cover","cloud_type","cloud_photo_id","visibility","traffic_count","temperature","humidity","collecting_photo_id","View"
"","","","17","1","title","2021-05-15 01:15:57.106543","name","date","time","latitude","longitude","average_noise_level","average_light_intensity","wind_direction","wind_speed","cloud_cover","cloud_type","cloud_photo_id","visibility","traffic_count","temperature","humidity","collecting_photo_id","View"
"","","","18","1","title","2021-05-15 01:15:57.106543","name","date","time","latitude","longitude","average_noise_level","average_light_intensity","wind_direction","wind_speed","cloud_cover","cloud_type","cloud_photo_id","visibility","traffic_count","temperature","humidity","collecting_photo_id","View"
"","","","19","2","title","2021-05-15 01:15:57.106543","name","date","time","latitude","longitude","average_noise_level","average_light_intensity","wind_direction","wind_speed","cloud_cover","cloud_type","cloud_photo_id","visibility","traffic_count","temperature","humidity","collecting_photo_id","View"
"","","","20","2","title","2021-05-15 01:15:57.106543","name","date","time","latitude","longitude","average_noise_level","average_light_intensity","wind_direction","wind_speed","cloud_cover","cloud_type","cloud_photo_id","visibility","traffic_count","temperature","humidity","collecting_photo_id","View"